instant,casual,temp,season,holiday,workingday
1,331,0.344167,1,0,0
2,131,0.363478,1,0,0
3,120,0.196364,1,0,1
4,108,0.2,1,0,1
5,82,0.226957,1,0,1
6,88,0.204348,1,0,1
7,148,0.196522,1,0,1
8,68,0.165,1,0,0
9,54,0.138333,1,0,0
10,41,0.150833,1,0,1
11,43,0.169091,1,0,1
12,25,0.172727,1,0,1
13,38,0.165,1,0,1
14,54,0.16087,1,0,1
15,222,0.233333,1,0,0
16,251,0.231667,1,0,0
17,117,0.175833,1,1,0
18,9,0.216667,1,0,1
19,78,0.292174,1,0,1
20,83,0.261667,1,0,1
21,75,0.1775,1,0,1
22,93,0.0591304,1,0,0
23,150,0.0965217,1,0,0
24,86,0.0973913,1,0,1
25,186,0.223478,1,0,1
26,34,0.2175,1,0,1
27,15,0.195,1,0,1
28,38,0.203478,1,0,1
29,123,0.196522,1,0,0
30,140,0.216522,1,0,0
31,42,0.180833,1,0,1
32,47,0.192174,1,0,1
33,72,0.26,1,0,1
34,61,0.186957,1,0,1
35,88,0.211304,1,0,1
36,100,0.233333,1,0,0
37,354,0.285833,1,0,0
38,120,0.271667,1,0,1
39,64,0.220833,1,0,1
40,53,0.134783,1,0,1
41,47,0.144348,1,0,1
42,149,0.189091,1,0,1
43,288,0.2225,1,0,0
44,397,0.316522,1,0,0
45,208,0.415,1,0,1
46,140,0.266087,1,0,1
47,218,0.318261,1,0,1
48,259,0.435833,1,0,1
49,579,0.521667,1,0,1
50,532,0.399167,1,0,0
51,639,0.285217,1,0,0
52,195,0.303333,1,1,0
53,74,0.182222,1,0,1
54,139,0.221739,1,0,1
55,100,0.295652,1,0,1
56,120,0.364348,1,0,1
57,424,0.2825,1,0,0
58,694,0.343478,1,0,0
59,81,0.407273,1,0,1
60,137,0.266667,1,0,1
61,231,0.335,1,0,1
62,123,0.198333,1,0,1
63,214,0.261667,1,0,1
64,640,0.384167,1,0,0
65,114,0.376522,1,0,0
66,244,0.261739,1,0,1
67,316,0.2925,1,0,1
68,191,0.295833,1,0,1
69,46,0.389091,1,0,1
70,247,0.316522,1,0,1
71,724,0.329167,1,0,0
72,982,0.384348,1,0,0
73,359,0.325217,1,0,1
74,289,0.317391,1,0,1
75,321,0.365217,1,0,1
76,424,0.415,1,0,1
77,884,0.54,1,0,1
78,1424,0.4725,1,0,0
79,1047,0.3325,1,0,0
80,401,0.430435,2,0,1
81,460,0.441667,2,0,1
82,203,0.346957,2,0,1
83,166,0.285,2,0,1
84,300,0.264167,2,0,1
85,981,0.265833,2,0,0
86,472,0.253043,2,0,0
87,222,0.264348,2,0,1
88,317,0.3025,2,0,1
89,168,0.3,2,0,1
90,179,0.268333,2,0,1
91,307,0.3,2,0,1
92,898,0.315,2,0,0
93,1651,0.378333,2,0,0
94,734,0.573333,2,0,1
95,167,0.414167,2,0,1
96,413,0.390833,2,0,1
97,571,0.4375,2,0,1
98,172,0.335833,2,0,1
99,879,0.3425,2,0,0
100,1188,0.426667,2,0,0
101,855,0.595652,2,0,1
102,257,0.5025,2,0,1
103,209,0.4125,2,0,1
104,529,0.4675,2,0,1
105,642,0.446667,2,1,0
106,121,0.430833,2,0,0
107,1558,0.456667,2,0,0
108,669,0.5125,2,0,1
