signal bandwidth legacy_users speed
-81.03 88.35 6 51.19
-86.11 75.37 9 48.18
-79.82 71.22 10 47.11
-72.82 71.74 8 49.14
-86.87 39.15 13 33.59
-86.87 32.89 6 33.54
-72.37 81.89 15 55.58
-78.86 81.96 8 50.65
-88.76 87.37 10 43.18
-80.66 91.76 5 54.38
-88.71 53.58 12 33.7
-88.73 52.64 9 42.46
-83.06 80.84 4 50.95
-100.31 66.75 7 30.75
-98.8 71.69 4 37.58
-89.5 80.6 7 43.69
-93.1 89.55 7 48.0
-82.49 37.11 7 43.28
-92.26 40.68 8 25.84
-96.3 13.93 4 19.48
-73.27 59.94 8 50.23
-86.81 8.41 8 23.66
-84.46 49.23 6 41.75
-96.4 56.55 6 32.99
-89.36 32.22 11 30.65
-84.11 61.13 7 41.53
-94.21 7.9 6 20.43
-81.99 8.55 6 24.05
-89.81 83.15 12 54.75
-87.33 39.22 7 35.54
-89.81 17.07 11 21.87
-70.18 54.61 11 45.09
-85.11 78.15 8 41.5
-93.46 25.5 7 20.31
-78.42 64.17 9 50.07
-94.77 13.11 9 21.47
-83.33 9.91 10 17.84
-100.68 55.48 13 36.69
-95.63 56.36 5 34.48
-83.43 65.56 9 46.97
-79.09 73.98 8 57.7
-83.63 97.71 7 57.89
-85.93 54.05 6 40.45
-87.41 35.68 5 30.87
-96.83 80.54 9 33.68
-90.76 30.73 6 27.61
-88.69 46.7 4 36.7
-76.54 12.45 7 26.01
-82.25 7.41 6 22.37
-99.1 96.45 3 45.04
-82.41 84.42 10 51.0
-88.08 71.12 11 42.5
-90.42 43.85 8 36.22
-80.11 21.46 4 34.55
-76.75 19.86 5 29.64
-77.55 28.77 11 43.25
-91.71 57.18 6 38.6
-87.47 72.89 9 46.01
-82.35 67.72 7 50.45
-77.2 31.59 9 39.91
-88.83 95.71 7 54.54
-86.49 75.1 12 48.25
-93.85 57.66 11 35.41
-94.57 63.11 7 40.45
-78.5 44.86 5 38.47
-74.15 28.53 7 39.98
-85.58 38.82 10 36.56
-76.97 77.0 10 52.47
-82.11 6.37 3 21.58
-90.16 16.03 11 16.39
-82.11 9.37 9 22.31
-72.7 8.87 9 30.16
-85.29 86.27 9 51.26
-72.48 71.85 10 50.54
-105.96 50.05 6 33.32
-78.42 14.29 10 26.49
-84.3 51.7 14 45.65
-87.39 49.98 8 41.09
-84.27 21.45 11 27.7
-100.9 46.22 7 37.15
-86.76 42.86 5 32.63
-82.14 63.51 7 50.25
-73.18 65.33 9 56.47
-89.15 9.3 8 17.56
-91.47 40.59 10 39.36
-89.01 64.46 9 41.72
-77.68 52.8 9 47.25
-82.37 86.37 5 53.44
